command,count
"runbook step-add text-adventure-game-loop user ""Run: python adventure.py"" ""Game starts, shows starting room description""",1
"runbook step-add text-adventure-game-loop user ""Type: look"" ""Displays room description and available exits""",1
"runbook step-add text-adventure-game-loop user ""Type: go north"" ""Player moves to forest, add room description shown""",1
"runbook step-add text-adventure-game-loop user ""Type: take key"" ""Key added to inventory""",1
"runbook step-add text-adventure-game-loop user ""Type: inventory"" ""Shows: 'You are carrying: key'""",1
"runbook step-add text-adventure-game-loop system ""Parse user command (look/go/take), edit world state"" ""Command processed, state updated""",1
"runbook step-add text-adventure-game-loop ai ""Implement adventure.py with rooms dict and command parser"" ""Game loop functional""",1
runbook export text-adventure-game-loop md,1
workflow init game-loop-workflow text-adventure-game-loop,1
"workflow node add game-loop-workflow manager_intent ""Goal: minimal playable adventure""",1
"workflow node add game-loop-workflow user_intent ""Player explores rooms, takes items""",1
"workflow node add game-loop-workflow interface ""Game loop: parse commands, edit world state""",1
"workflow node add game-loop-workflow code ""adventure.py: rooms dict + command parser""",1
workflow validate game-loop-workflow,1
"track add ""Sprint 1: Text Adventure MVP"" 2025-01-01",1
"phase add track-001 ""P1: Implement Game Loop""",1
"task add phase-001 ""Implement adventure.py with rooms and commands""",1
tu make target-cmake-mathapp,1
tu query symbol calculateSum,1
tu refactor rename symbol-001 computeSum,1
tu autocomplete src/main.cpp 6 20,1
tu refactor rename symbol-001 std,1
convert add cpp-to-python,1
convert plan cpp-to-python,1
work task task-002,1
issues list,1
solutions list,1
"issues ignore issue-001 ""Legacy code header will remain in src/ for backwards compatibility""",1
task add issue-001,1
,1
repo,1
tu,1
convert,1
issues,1
solutions,1
repo hub find package Core,1
tu make target-upp-app,1
settings set ai_stacking_mode managed,1
"work spawn task-001 ""Investigate component Y""",1
"wsession breadcrumb add wsession-subtask-def456 ""Found 3 main functions in component Y: validate, sanitize, transform""",1
"wsession breadcrumb add wsession-subtask-def456 ""Implemented feature X""",1
"wsession breadcrumb add wsession-parent-abc123 ""Implemented feature X using component Y""",1
select toolchain set system project,1
select toolchain show project,1
select toolchain export env ./docs/maestro/toolchain.env,1
select toolchain set android_ndk_r25 project,1
select toolchain export env ./docs/maestro/toolchain-android.env,1
select toolchain detect,1
platform caps detect,1
platform caps prefer vulkan project,1
platform caps require vulkan project,1
log list,1
"log show ""${SCAN_ID}""",1
"issues add ""${SCAN_ID}""",1
issues list blocker open,1
issues triage || true,1
"issues link-task ""${FIRST_ISSUE}"" TASK-123 || true",1
"issues resolve ""${FIRST_ISSUE}"" ""Fixed in test commit"" || true",1
"work task TASK-123 || echo ""${YELLOW}⚠ Command failed (may not be fully implemented)${NC}""",1
"log show ""${SCAN_ID}"" | grep fingerprint | sort > /tmp/scan1_fingerprints.txt",1
"log show ""${SCAN_ID_2}"" | grep fingerprint | sort > /tmp/scan2_fingerprints.txt",1
repo hub list,1
repo hub find package CoreLib,1
repo hub link package MyApp sha256:def456...,1
repo hub link show,1
make make MyApp,1
repo hub show sha256:abc123...,1
repo hub link remove sha256:link123...,1
"runbook archive RB-001 ""Superseded by v2""",1
"runbook archive docs/workflows/v3/runbooks/examples/EX-01_old_example.sh ""Outdated approach""",1
runbook list json,1
runbook show RB-001,1
"runbook archive RB-001 ""Testing idempotency""",1
runbook restore <ARCHIVE_ID>,1
"workflow archive docs/workflows/v3/workflows/WF-OLD.md ""Legacy workflow""",1
workflow show docs/workflows/v3/workflows/WF-OLD.md,1
workflow restore <WORKFLOW_ARCHIVE_ID>,1
ops doctor,1
ops doctor json,1
"ops doctor || echo ""Exit code: $?""",1
ops list,1
"ops show ""$RUN_ID""",1
