command, count, examples
maestro runbook step-add hello-cli-tool --actor ai --action "Implement hello.py with argparse" --expected "Code written and tested", 1, EX-09
maestro runbook step-add hello-cli-tool --actor manager --action "Define product goal: simple greeting CLI" --expected "Goal documented", 1, EX-09
maestro runbook step-add hello-cli-tool --actor system --action "Parse CLI args using argparse" --expected "Arguments extracted", 1, EX-09
maestro runbook step-add hello-cli-tool --actor user --action "Run: hello --name Alice" --expected "Prints: Hello, Alice!", 1, EX-09
maestro runbook step-add hello-cli-tool --actor user --action "Run: hello (no args)" --expected "Prints: Hello, World!", 1, EX-09
maestro runbook step-add text-adventure-game-loop --actor ai --action "Implement adventure.py with rooms dict and command parser" --expected "Game loop functional", 1, EX-12
maestro runbook step-add text-adventure-game-loop --actor manager --action "Define goal: minimal playable text adventure" --expected "Goal documented", 1, EX-12
maestro runbook step-add text-adventure-game-loop --actor system --action "Parse user command (look/go/take), update world state" --expected "Command processed, state updated", 1, EX-12
maestro runbook step-add text-adventure-game-loop --actor user --action "Run: python adventure.py" --expected "Game starts, shows starting room description", 1, EX-12
maestro runbook step-add text-adventure-game-loop --actor user --action "Type: go north" --expected "Player moves to forest, new room description shown", 1, EX-12
maestro runbook step-add text-adventure-game-loop --actor user --action "Type: inventory" --expected "Shows: 'You are carrying: key'", 1, EX-12
maestro runbook step-add text-adventure-game-loop --actor user --action "Type: look" --expected "Displays room description and available exits", 1, EX-12
maestro runbook step-add text-adventure-game-loop --actor user --action "Type: take key" --expected "Key added to inventory", 1, EX-12
maestro session log session-20250126-001, 1, EX-08
maestro settings set ai_stacking_mode managed, 1, EX-19
maestro solutions match --from-build-log, 2, EX-01|EX-10
maestro task add --from-issue issue-001, 1, EX-16
maestro task add --issue issue-001 --action apply-solution, 1, EX-01
maestro task add phase-001 "Implement adventure.py with rooms and commands", 1, EX-12
maestro task add phase-001 "Implement File → Export submenu", 1, EX-11
maestro task add phase-001 "Implement File → New action", 1, EX-11
maestro task add phase-001 "Implement File → Open action", 1, EX-11
maestro task add phase-001 "Implement hello.py with argparse", 1, EX-09
maestro task add phase-001 "Implement login endpoint", 1, EX-02
maestro task add phase-001 "Write main.cpp and Makefile", 1, EX-10
maestro task complete task-001, 3, EX-09|EX-10|EX-12
maestro task show task-001", 1, EX-16
maestro track add "Sprint 1: C++ Hello" --start 2025-01-01, 1, EX-10
maestro track add "Sprint 1: Hello CLI" --start 2025-01-01, 1, EX-09
maestro track add "Sprint 1" --start 2025-01-01, 1, EX-02
maestro track add "Sprint 1: Text Adventure MVP" --start 2025-01-01, 1, EX-12
maestro track add "Sprint 2: Implement File Menu" --start 2025-02-01, 1, EX-11
maestro tu autocomplete --file src/main.cpp --line 6 --col 20, 1, EX-14
maestro tu build --target ... | ❌ MISSING | Create ledger entry (TU tree) |", 1, EX-17
maestro tu build --target target-cmake-mathapp, 1, EX-14
maestro tu build --target target-cmake-mathapp\` |", 1, EX-17
maestro tu build --target target-upp-app --resolve-from-hub, 1, EX-18
maestro tu --help, 1, EX-17
maestro tu query symbol --name calculateSum, 1, EX-14
maestro tu query symbol --name calculateSum\` |", 1, EX-17
maestro tu query symbol --name ... | ❌ MISSING | Covered by TU ledger |", 1, EX-17
maestro tu refactor rename --symbol ... | ❌ MISSING | Covered by TU ledger |", 1, EX-17
maestro tu refactor rename --symbol symbol-001 --to computeSum, 1, EX-14
maestro tu refactor rename --symbol symbol-001 --to std, 1, EX-14
maestro tu subcommand does not exist", 1, EX-17
maestro work close wsession-logging-xyz123", 2, EX-20
maestro work close wsession-logging-xyz123, 2, EX-20
maestro workflow accept user-auth-service, 1, EX-02
maestro workflow edge add hello-cli-workflow --from interface_001 --to code_001, 1, EX-09
maestro workflow edge add hello-cli-workflow --from manager_intent_001 --to user_intent_001, 1, EX-09
maestro workflow edge add hello-cli-workflow --from user_intent_001 --to interface_001, 1, EX-09
maestro workflow init edit-menu-workflow --from-runbook gui-menu-edit, 1, EX-11
maestro workflow init file-menu-workflow --from-runbook gui-menu-file, 1, EX-11
maestro workflow init game-loop-workflow --from-runbook text-adventure-game-loop, 1, EX-12
maestro workflow init hello-cli-workflow --from-runbook hello-cli-tool, 1, EX-09
maestro workflow init hello-cpp-workflow --from-runbook c-hello-program, 1, EX-10
maestro workflow init user-auth-service, 1, EX-02
maestro workflow node add edit-menu-workflow --layer interface --label "Menu: Edit → Undo/Redo/Cut/Copy/Paste", 1, EX-11
maestro workflow node add file-menu-workflow --layer interface --label "Menu: File → New/Open/Save/Export", 1, EX-11
maestro workflow node add file-menu-workflow --layer manager_intent --label "Manager defines File menu structure", 1, EX-11
maestro workflow node add file-menu-workflow --layer user_intent --label "User wants to create/open/save/export files", 1, EX-11
maestro workflow node add game-loop-workflow --layer code --label "adventure.py: rooms dict + command parser", 1, EX-12
maestro workflow node add game-loop-workflow --layer interface --label "Game loop: parse commands, update world state", 1, EX-12
maestro workflow node add game-loop-workflow --layer manager_intent --label "Goal: minimal playable adventure", 1, EX-12
maestro workflow node add game-loop-workflow --layer user_intent --label "Player explores rooms, takes items", 1, EX-12
maestro workflow node add hello-cli-workflow --layer code --label "hello.py main()", 1, EX-09
maestro workflow node add hello-cli-workflow --layer interface --label "CLI: argparse parser", 1, EX-09
maestro workflow node add hello-cli-workflow --layer manager_intent --label "Product goal: greeting CLI", 1, EX-09
maestro workflow node add hello-cli-workflow --layer user_intent --label "User runs hello --name X", 1, EX-09
maestro workflow node add hello-cpp-workflow --layer code --label "main.cpp: iostream + cout", 1, EX-10
maestro workflow node add hello-cpp-workflow --layer interface --label "Build: Makefile + g++", 1, EX-10
maestro workflow node add hello-cpp-workflow --layer manager_intent --label "Goal: minimal C++ greeting", 1, EX-10
maestro workflow node add hello-cpp-workflow --layer user_intent --label "User runs make; then ./hello", 1, EX-10
maestro workflow node add manager-intent "User can log in securely", 1, EX-02
maestro workflow node add user-action "Submit login form", 1, EX-02
maestro workflow render file-menu-workflow --format puml, 1, EX-11
maestro workflow render --format puml, 1, EX-02
maestro workflow render hello-cli-workflow --format puml, 1, EX-09
maestro workflow validate edit-menu-workflow, 1, EX-11
maestro workflow validate file-menu-workflow, 1, EX-11
maestro workflow validate game-loop-workflow, 1, EX-12
maestro workflow validate hello-cli-workflow, 1, EX-09
maestro workflow validate hello-cpp-workflow, 1, EX-10
maestro work --resume ws-20250126-abc123, 1, EX-07
maestro work resume wsession-logging-xyz123", 1, EX-20
maestro work resume wsession-parent-abc123, 2, EX-19
maestro work spawn --from-task task-001 --title "Investigate component Y", 1, EX-19
maestro work task task-001", 1, EX-16
maestro work task task-001, 8, EX-01|EX-02|EX-07|EX-09|EX-10|EX-12|EX-19|EX-20
maestro work task task-002, 1, EX-15
maestro wsession breadcrumb'", 1, EX-07
maestro wsession breadcrumb add --cookie wsession-parent-abc123 --message "Implemented feature X using component Y", 1, EX-19
maestro wsession breadcrumb add --cookie wsession-subtask-def456 --message "Found 3 main functions in component Y: validate, sanitize, transform", 1, EX-19
maestro wsession breadcrumb add --cookie wsession-subtask-def456 --message "Implemented feature X", 1, EX-19
maestro wsession breadcrumb <session> --cookie <cookie> --status <msg>", 1, EX-07
maestro wsession breadcrumb task-001 --cookie '<cookie>' --status "Implementing argparse parser", 1, EX-09
maestro wsession breadcrumb ws-20250126-abc123 --cookie cookie-7f3a9b2e --status "Analyzing codebase...", 1, EX-07
maestro wsession breadcrumb ws-20250126-abc123 --cookie cookie-7f3a9b2e --status "Implementing password hashing...", 1, EX-07
maestro wsession breadcrumb ws-20250126-abc123 --cookie cookie-7f3a9b2e --status "Writing unit tests...", 1, EX-07
maestro wsession breadcrumb ws-20250126-abc123 --cookie cookie-7f3a9b2e --status \"Your progress message\"", 1, EX-07
maestro wsession breadcrumb ws-20250126-abc123 --cookie wrong-cookie --status "Hacked", 1, EX-07
maestro wsession breadcrumb ws-20250126-abc123 --status "Progress...", 1, EX-07
maestro wsession show'", 1, EX-07
maestro wsession show ws-20250126-abc123, 1, EX-07
mkdir include, 1, EX-16
mv src/utils.h include/, 1, EX-16
python adventure.py, 1, EX-12
python hello.py, 1, EX-09
python hello.py --name Alice, 1, EX-09
TODO_CMD: maestro issues add "Build failed" --label build, 1, EX-25
TODO_CMD: maestro issues add "Missing API spec" --phase PH-CORE, 1, EX-23
TODO_CMD: maestro issues add "Tests failed" --task TASK-123, 1, EX-24
TODO_CMD: maestro issues discuss, 1, EX-26
TODO_CMD: maestro issues ignore ISS-3 --reason "duplicate of ISS-7", 1, EX-26
TODO_CMD: maestro issues link-solution ISS-9 SOL-9, 1, EX-28
TODO_CMD: maestro phase discuss PH-CORE, 1, EX-23
TODO_CMD: maestro repo discuss, 2, EX-21|EX-25
TODO_CMD: maestro rules apply --track TRK-ALPHA, 1, EX-22
TODO_CMD: maestro runbook discuss, 1, EX-27
TODO_CMD: maestro solutions discuss, 1, EX-28
TODO_CMD: maestro task discuss TASK-042, 1, EX-21
TODO_CMD: maestro task discuss TASK-123, 1, EX-24
TODO_CMD: maestro track discuss TRK-ALPHA, 1, EX-22
TODO_CMD: maestro workflow export --format puml onboard_service, 1, EX-27
TODO_CMD: maestro workflow render --format svg onboard_service, 1, EX-27
